"VulnID","DiscussMD5","CheckMD5","FixMD5","DiscussValid","CheckValid","FixValid"
"V-206351","CAT II - XO uses Redis for server-side session tokens","Verify Redis configured and running, no client-side sessions","N/A - XO uses Redis by design","False","False","False"
"V-206352","CAT II - TLS integrity protection for XO sessions","Verify TLS 1.2+ with strong ciphers, no weak algorithms","Configure Node.js TLS settings","False","False","False"
"V-206353","CAT II - TLS confidentiality protection for XO sessions","Verify TLS encryption prevents eavesdropping","Configure Node.js TLS settings","False","False","False"
"V-206367","CAT II - XO must use OS system clock for log timestamps","Verify log timestamps match system time","N/A - XO uses system clock by design","False","False","False"
"V-206386","","","#>","False","False","False"
"V-206400","CAT II - Verify session ID generator uses CSPRNG (cryptographically secure PRNG)","Check Express.js session middleware and Redis session generator configuration","N/A - XO uses Express.js + Redis with secure session ID generation by default","False","False","False"
"V-206401","CAT II - Verify session ID length is â‰¥128 bits (16 bytes)","Check Express.js session configuration for ID length, sample Redis session IDs","Configure express-session with genid function using crypto.randomBytes(16) minimum","False","False","False"
"V-206402","CAT II - Verify session ID uses full alphanumeric + symbol character set","Sample Redis session IDs and analyze character diversity","N/A - XO uses base64/hex encoding which maximizes character set usage","False","False","False"
"V-206403","CAT II - Verify session ID entropy source is configurable/definable (CSPRNG source)","Verify crypto.randomBytes uses /dev/urandom or system CSPRNG, check for configurable entropy","N/A - Node.js crypto module uses OS-provided CSPRNG by default","False","False","False"
"V-206404","CAT II - Verify configuration backup/version control exists for disaster recovery","Check for config backups, git repository, or documented baseline","Implement config backup strategy (git, etckeeper, or manual backups)","False","False","False"
"V-206405","CAT II - Verify systemd service has proper failure handling (Restart policy, timeout settings)","Check systemd service file for Restart=, TimeoutStopSec=, KillMode= settings","Configure systemd service with Restart=on-failure, proper timeout and kill settings","False","False","False"
"V-206407","CAT II - Verify LUKS/dm-crypt encryption for XO data directories with AES-256","Check lsblk for encrypted partitions, verify AES-256 cipher, check XO data paths","Implement LUKS encryption for /opt/xo and /var/lib/xo-server partitions","False","False","False"
"V-206408","CAT II - Verify XO data directories on separate partition/filesystem from OS","Use df and mount to verify /opt/xo or /var/lib/xo-server on separate partition","Create separate partition for XO data, mount at /opt/xo, migrate data","False","False","False"
"V-206409","CAT II - Verify rate limiting, connection limits, and resource throttling","Check Nginx rate limiting, XO config for maxConnections, firewall rules, fail2ban","Configure rate limiting in Nginx/XO config, set connection limits, enable fail2ban","False","False","False"
"V-264360","CAT II - IP consistency for management sessions","Verify management sessions maintain consistent source IP","Configure session IP binding","False","False","False"
"V-264361","CAT II - IP consistency for user sessions","Verify user sessions maintain consistent source IP","Configure session IP binding","False","False","False"
